Temperature,HeatIndex,WindSpeed,CloudCover,RelativeHumidity,Maximum Temperature,Minimum Temperature,Wind Direction,AQI
28.7,39.3,20.5,43.3,81.11,34,26,162.41,0
26.9,35.8,25.9,50.9,86.07,30,25,207.33,0
28.7,39.1,18.4,53,78.62,34,26,119.44,0
28.3,40.6,17.7,51.6,82.81,33,25,133.33,0
28.7,40.6,20.5,47.7,77.22,33,25,110.52,0
29.3,39.2,20.3,44.8,75.68,33,26,131.82,1
29.9,40.7,18.4,40.5,71.91,34.9,25,111.05,1
29.1,38.1,14.8,51.8,79.57,33,26,98.91,0
28.3,40.5,17.3,49,86.18,33,26,141.94,0
27.4,39.2,24.5,51.8,87.56,33,26,191.36,0
27.5,39.2,19.6,50.3,88.43,33,26,154.6,0
29.2,40.6,18.4,49.2,78.66,33.1,26,228.27,0
29.9,43.3,20.9,42.7,78.79,35,26,231.24,0
28.9,42,18.4,47.6,83.52,34,25.9,238.88,1
28.5,41.8,24.1,50.2,82.2,33.9,25,195.88,1
28.6,45.3,27.7,51.7,86.6,33,26,222.25,1
29.1,42.1,27.7,48.1,82.08,35,26,245.71,1
28.8,44.2,16.6,46,86.88,34,26.1,244.78,1
28.8,42.3,14.8,48.7,84.87,34.2,26,190.94,1
29,42.3,31.7,52.1,84.24,34,27,254.55,0
27.9,40.6,27.7,60,89.05,32,26,267.94,1
28.7,41.9,19.3,57.3,85.42,34,26,263.25,1
28.9,42.3,18.4,45.2,86.39,32,27,236.86,1
28.6,45.7,21.2,49.8,85.15,33,26,214.65,1
27.4,40.4,14.8,55.2,90.87,30,26,206.5,1
28.6,43.3,16.6,47.9,86.54,32.8,25,217,0
30.3,42.2,14.8,43.4,79.16,34,26,204.62,1
28.9,42.3,19.6,47.5,85.67,32,26,250.78,0
28.5,36.8,16.6,50.2,77.06,32,25,253,1
27.9,40.6,22.3,51.4,88.3,31,25,196.29,0
29.5,41.9,13,49.7,77.11,34,25,232.18,1
27.4,40.4,49.7,53.6,88.73,31,24,238.32,1
28.1,40.6,22.3,50.1,84.19,33,25,273.13,1
30.1,39.3,18.4,34,73.2,34,26,284.14,1
29.6,39.2,16.6,51.1,80.1,33,26,267.83,1
28.3,42,18.4,57.7,86.56,32,25.9,199.7,1
29.7,40.6,14.8,50.2,76.17,34,25,276.91,1
30.9,42.2,11.2,37.8,71.69,35.9,26.9,260.38,1
29.7,41.8,20.5,45.4,80.47,33.6,27.9,229.13,1
29.1,40.6,16.6,48.9,84.18,33,27,220.4,1
29.9,40.3,18.4,42.1,75.01,34,26,257.96,1
29.9,40.6,22.3,52.6,76.7,34,27,249.38,1
27.9,40.6,20.5,56.2,85.31,34,24.9,242.3,0
27.1,42.3,24.1,53.7,87.9,31,25,272.06,0
27.1,37.4,18.4,55.2,87.08,31,25,258.05,1
28.1,39.1,18.4,53.2,79.89,32,25,259.84,1
27.3,35.1,24.1,62.4,84.53,30,25,266.95,1
27.7,40.1,18.9,48.8,86.95,32,25,247.75,1
27.9,39.2,16.6,52.8,84.23,33,25,205.82,1
28.7,38.8,20.5,56.6,84.27,32,27,195.13,1
29.1,40.3,22.3,49.1,79.68,33.8,25.1,216,1
28.6,38.8,22.3,50.2,81.45,34,26,234.24,1
29.3,40.4,29.5,57.3,78.09,33,24,218.48,0
28.6,39.2,16.6,54.7,81.51,33,25,279.81,0
28.6,39.2,18.4,53.2,80.32,33,25,228.19,0
28.8,39.3,16.6,61,80.24,33.1,24.2,255.95,0
27.3,37.7,16.6,52.6,85.68,32,25,257.64,0
27.4,37.9,18.4,54.3,86.66,32,25,253.65,1
27.7,37.7,18.4,54,86.21,32,25,243.94,1
29.1,38.1,18.9,46,76.25,33,25,231.86,1
29.6,40.6,16.6,47.4,74.77,34,26,267.29,1
29.2,40.3,19.3,57.2,76.18,34,26,285,0
26.5,40.6,20.5,63.7,87.31,31.9,24,259.6,1
26.5,38.4,19.6,58.7,88.28,32,24,269.72,0
25.6,38.8,25.9,67,91.07,31.9,24,264.47,0
27,35.6,16.6,54.2,83.84,30,24,266.43,1
28.2,40.6,25.9,45.5,83.13,32,25,254.57,1
28.2,40.6,25.9,56.8,84.4,32,25.1,264,1
28.1,44.3,32.4,58.4,86.42,31,26,259.46,1
26.8,36.8,32,58.9,91.3,29,25,246.88,1
26.6,39.1,31.7,60.2,89.99,31,24,253.13,0
27.2,39.1,33.3,59,88.29,31,24,241.67,0
28.3,42.3,29.5,52.1,88.28,32,25.9,238.83,0
29.1,43.4,25.9,57.6,84.32,33,26.9,248.29,0
29,42.2,29.5,50.4,85.81,33,26,243.54,1
28.4,45.2,25.9,51.8,88.92,33,26.9,244.75,1
28.8,43.4,27.7,52.9,87.72,33,26.9,246.25,1
27.9,43.5,27.7,65.1,88.77,32,25.2,236.33,1
28.4,48.5,25.9,58.9,91.08,32,26.9,238.43,0
27.4,42.2,25.9,61.4,86.22,32,25.9,234.25,0
26.2,31.9,18.6,58.7,85.61,28,25,218.23,0
28.1,40.6,21.2,54.1,82.96,32,25,205,0
29.4,40.6,14.8,53.5,75.6,34,25,254.67,1
29.1,41.9,22.5,52.7,78.42,34,26.9,234.83,1
28.3,40.6,15.3,64.8,79.84,34,25,224.9,1
27.8,40.6,25.9,65.6,82.38,33.1,24.1,221.53,0
28.5,42.1,20.5,51.3,81.68,33,26,255.44,0
28.6,40.6,29.5,52.3,82.08,33,25.9,207.38,0
29.1,43.5,19.6,55,77.91,35,26,219.94,0
28.1,39.2,22.3,59,81.91,32.1,25.9,232.81,0
27.7,40.6,29.5,53,84.89,33,26,215.57,0
27.8,37.7,16.6,59.3,82.8,31,25.9,256.57,0
27.2,34.9,20.5,62.7,83.59,29.9,25,247.04,0
26.5,35.1,20.5,69.6,86.09,30,24,279.95,0
27.6,37.9,20.5,64.9,81.5,32,24,237.7,0
28,40.6,27.7,59,81.55,33,25,244.87,0
28.4,40.4,20.5,48.4,78.96,33,25,268.45,0
28.3,40.6,24.1,71.3,81.84,34,25,254.43,0
27,40.6,35,66.4,89.46,32,25.9,235.08,0
28.4,39.1,18.4,62.5,80.34,32.8,24,252.57,0
28.2,38.1,31.7,58.3,82.33,33,24,260.13,0
26.6,37.9,18.4,57.6,87.57,32,23,253,0
27.9,38.9,25.9,64.1,80.17,32,25,235.58,0
28.2,38.1,20.5,53.1,79.07,32.9,26,223.04,0
28.8,37.9,14.8,58.8,77.1,32.9,25,254.57,0
28.1,39.3,19.6,61.8,81.59,33,26,236.5,0
29.2,41.9,16.6,48.7,78.47,34,25,244.94,0
27.9,40.6,14.8,61.4,84.36,32,25,240,0
29.3,40.6,20.3,59.6,78.26,34,25.9,284.33,0
30,40.6,20.5,48.5,76.24,34,26.9,236.3,0
29.4,41.9,18.4,55.6,79.71,35,26,236.39,0
29.2,40.7,22.3,59.9,79.61,35,25,249.17,0
29.9,40.6,14.8,52,76.89,34,26,232.09,0
27.9,40.6,24.1,52.3,82.81,33,25,261.25,0
29.1,40.4,11.2,55.9,79.53,33,25,303.5,0
30.4,43.5,20.5,50.7,76.86,34,27,302.33,0
27.6,40.6,37.1,67.6,86.27,32,22,243.64,0
28.5,43.5,22.5,65.5,83.02,34,23,283.15,0
27.4,40.6,24.1,60.6,85.56,33,23,248.05,0
26.8,37.6,23.5,58.3,92.45,30.9,25,278.4,0
26.9,37.4,16.6,66,93.09,30,25,221.56,0
26.5,36.5,19.3,66.3,91.68,31,25,279,0
27.7,39.1,19.3,68.1,87.49,31,25,219.59,0
26.9,37.7,18.4,59.7,91.34,31,25.9,235.5,0
27.8,37.7,29.5,55.6,84.96,31,25,241.96,0
29.4,42.9,16.6,49,80.95,34,26,268.35,0
28.5,42.1,16.6,60.9,86.75,33,26,239.52,0
27.7,41.8,11.2,53.6,87.53,32.9,24,200.6,0
29,43.5,15.7,48.1,82.66,34,25,174.28,0
28,42.3,29.5,65.4,87.08,32,24,201.9,0
27.3,41.9,22.3,64.7,87.78,33,23,190.22,0
25.4,30.6,14.8,65.9,97.77,27,23,187.36,1
26,34.3,24.1,61.8,94.39,28.9,25,187,0
27.5,42.1,14.8,57,87.67,33,24,182.86,0
28.2,40.6,14.8,64.1,85.53,33,25,172.21,0
28.1,40.6,16.6,63.2,85.54,32,24,229.63,0
27.5,39.2,13,53.8,90.23,33,25,191.39,0
28.8,42.1,11.7,45.2,85.48,33,25,150.76,0
28.2,40.6,14.8,60.1,87.3,32,25,266.5,0
29.6,42.1,14.8,58.1,82.3,34,26,199.67,0
28.5,40.6,11.2,62.4,88.42,32,26,210.39,0
28.4,43.3,16.6,54.5,86.68,34,24,176.26,0
27,42.1,14.8,66.2,91.15,33,24,200,0
27,39.1,19.9,67.8,91.94,31,25,290.9,0
26.5,37.4,25.9,65.8,93.41,30,25,257.17,0
28.4,42.3,18.4,53.3,86.99,32,25,276.65,0
26.7,42.3,16.6,65.7,94.65,32,24,224.8,0
26,39.1,11.2,73.7,94.99,31,24,303.95,0
26.7,43.6,33.5,64.9,94.76,32,24,300.32,0
27.4,42,16.6,57,91.59,32.1,25,227.52,0
27.1,40.6,17.3,64.7,92.2,32,25,161.39,0
27.4,38.7,15.7,49.3,90.14,30.8,25,181.35,0
27.9,38.4,14.8,51.3,87.76,30.8,26,145.43,0
27,39.1,17.3,55.3,92.31,31,25,196.43,0
27.5,37.8,13,50.7,84.23,32.8,24,218.17,0
27.2,37.7,11.7,50.5,87.53,31,25,180.2,0
28.2,39.2,14.8,56.3,80.07,32,25,160.11,0
28.2,37.9,9.4,58.4,80.07,32,25,251.82,0
28.5,37,10.5,49.4,78.38,33,25,130.65,0
28.6,35.8,18.4,31.4,63.73,33,24,44.57,0
27.6,39.2,14.8,55.1,86.68,32,25,155.72,0
27.4,39.2,12.4,59.3,84.88,33,24,192.8,0
28.1,40.6,16.6,56.1,84.61,32,25,135.58,0
29.4,41.7,22.3,37.6,78.48,34,26,128.32,0
29,42.1,16.6,44.3,83.65,34,25,218.63,1
28,44.8,40.7,76.1,87.78,34,23,273.69,1
24.5,,17.3,64.6,96.17,26,23,218.24,1
27.2,37.7,24.1,59.3,86.35,31,24,156.57,0
28.2,39.2,14.8,41.9,82.97,33,24,139.29,1
28.7,40.6,16,50.7,80.6,33,25,125.59,0
28.8,40.6,13.1,42.7,81.12,34,25,200.19,1
28,39.3,16.6,47.2,82.67,34,25,116.63,1
28.6,39.2,13,43.4,78.53,33,24,100.32,1
28.6,41.9,11.2,48.4,80.04,34,25,101,0
28.3,37.9,13,38.9,77.73,32,24,60.7,1
28,36.8,14.8,52.4,79.13,32,25,64.24,0
26.5,33.5,9.2,58.5,93.86,28,25,173.69,0
28.3,37.4,11.2,35,76.17,33,24,128.19,0
28.4,38.1,13,43.3,74.71,33.8,24,178.71,0
28.4,39.2,16.6,61.9,79.3,32,25,68,0
28.4,39.2,11.2,58.3,82.85,33,25,165.69,0
26.8,39,13,51.4,92.08,31.9,25,171.82,0
27.3,38.9,9.4,52.7,88.66,31.1,25,250.8,0
28.1,37.9,11.7,40.8,80.08,32,24,244.62,0
28.3,39.2,14.8,41.8,83.82,32.9,25,201.38,0
28.3,38.1,14.8,48.9,78.36,33.8,25,243.19,0
24.3,29.2,21.6,51.8,61.49,28,20,231.79,0
23.4,27.7,22.5,52.2,58.26,27,21,156.08,0
24.5,29.8,27.7,53.9,64.81,29,21,182.38,0
25.6,34.5,14.4,50.9,77.09,31,21,232.5,0
28.1,37.7,13,44.9,74.22,33,24,123.65,0
27.2,35.8,20.3,43.8,70.58,32,23,102.77,0
25.5,37.7,20.5,59.2,88.38,31,21,137.21,0
27.4,37.7,21.2,51.8,84.67,31,25,150.35,0
28.8,39.2,18.4,48.2,79.56,33,24.9,119.16,0
28,38.9,18.4,41.3,82.07,33,24,131.68,0
28.1,36.8,13,35.5,76.32,33,23,110.73,0
26.6,33,20.5,36.5,71.85,31,23,93.05,0
26.4,33.4,9.4,39.7,71.04,30.9,22,146.44,0
26.5,33.8,11.8,35.6,73.23,32,21.6,156.89,0
27.2,36.2,14.8,45.9,79.73,32.3,23,190.11,0
27.7,38.7,15.5,54.9,84.21,32.6,24,185.91,0
27.5,36.6,14.8,65.9,86.15,30.3,25.9,158.48,0
27.8,38.6,18.9,52.6,83.95,32,25,133.04,0
28.3,37.9,16,50.7,81.22,32,25.4,138.39,0
28.3,39.7,17,52.9,82.54,32.4,25,125.91,0
28.3,39.2,17.4,54.3,81.21,32.9,25,154.5,0
27.7,38.4,14.8,48.4,79.49,33.4,25,236.76,0
27.1,34.1,12.2,52.1,69.86,32,23,94.59,0
26.4,32.9,16.9,39.1,64.9,32,22,91.91,0
25.4,31.3,11.2,52.6,70.91,30,21,98.05,0
26.6,33.6,14.8,72.3,81.94,30.4,24,267.05,0
27.1,34.8,11.6,68.2,83.28,30.8,24,224.65,0
27.2,36.5,13.1,84.2,85.02,31,24.9,223.17,0
26.7,37.4,13.9,67.7,85.41,31.6,24,255.58,0
25.6,32.7,8.1,87.8,94.42,28,24,232.5,1
27.7,37.5,12.4,69.5,81.42,33,23.6,189.63,0
27.2,37.2,11.5,69.8,87.04,31.6,25,280.37,0
27,35.9,9.8,81.4,89.3,29.5,25,217.41,0
27,36.5,13.4,72.5,87,30,24,155.25,0
27.6,37.7,15.7,80.2,82.24,31.5,25,124.76,0
27.3,37.3,15.8,68.2,80.1,31.6,23.6,158.82,0
27.2,37.1,13.1,58.6,82.27,30.6,24.6,214.48,0
27.4,39.2,13.3,73,85.78,32.6,24,197.5,0
27.6,40,16.7,75.3,85.62,32.3,25,185.16,0
26.8,38,14.8,78.5,86.81,31,24,207.3,0
27.5,38,18.4,55.1,83.89,32.6,24,255.57,0
27.2,38,16.7,63.2,85.69,32.1,24,195.32,0
27.6,35.5,13.4,65.7,78.44,31.5,25,203.29,0
27,36,15.8,63.6,75.33,31.4,23.6,149.59,0
26.9,35.4,16.8,48.4,74.57,33,23,97.84,0
25.9,32.9,13.8,47.6,74.87,30.6,21.7,279.74,0
25.5,31.4,10.4,45.2,70.57,30.6,20,245.06,0
24.6,30.2,12.6,43.6,67.17,30,18.6,185.71,0
24.5,30.2,15.1,51.6,74.64,30,20.6,157.25,0
25,30.2,18.2,40.7,71.92,29.4,21,172.68,0
25.4,31.2,17,42.7,76.28,30.5,21.9,171.14,0
25.9,33.2,14,60.2,79.87,30.6,22.9,152.05,0
26.2,33.5,13,67.4,79,31,23,201.68,0
26.9,33.8,14.8,42.2,69.03,33.6,22,110.05,0
26.2,33.8,15.4,47.3,67.01,31.5,21.1,208.77,0
26.3,34.1,16.3,32.2,77.17,32.4,21.4,248.25,0
26.6,35.8,14,43.2,81.92,31.6,23,207.52,0
27.7,38.1,14.8,62.4,79.98,33.4,24.9,172.78,0
27.2,36.8,19.6,51.9,80.05,32,24,168.32,0
27.4,37.8,20.7,58.9,82.79,32.9,23,178.78,0
28.6,37.3,25.2,37.3,71.54,34,25,131.92,0
28.4,36.9,22.6,38,66.46,35,25,141.35,0
28.8,38.4,18.4,45.6,68.39,34.1,24.9,123.36,0
28.8,38.7,24.1,36.9,70.66,35.1,24.9,146.89,0
28.8,36.9,20,53.1,69.26,35,23.4,96.91,0
29.1,37.5,15.7,26.5,61.44,35.6,23.4,105.58,0
28.7,37.7,18.8,31.8,66.64,34,24.4,136.64,0
27.8,35.8,17.3,41.3,72.96,33,24,138.71,0
28.2,36.6,19.2,38.4,71.58,34.4,24,231.33,0
28.5,37.7,18.6,37.8,74.95,33.6,24,174.79,1
29.1,39,17.6,53.4,72.5,33.4,26.4,147.38,0
28.6,39.2,19.5,53.9,79.58,33,25.9,148.79,1
27.8,36.2,15.5,61.4,83.65,30.6,25.9,152.33,0
28.8,38.8,16.6,38.8,75.38,34,24.9,150.29,0
29.4,40.6,18.4,44.3,75.53,34,26.4,140.22,0
29.1,39.2,20.5,45.7,76.01,33.4,25.9,143.88,0
29.8,38.5,18.4,36.2,66.13,37,26,120.3,1
29.7,39.6,19.2,31,63.94,36.2,24.4,136.5,0
29.1,37.2,20.4,44.5,69.56,35,23.8,127.05,1
28.6,36.5,15.5,49.2,67.26,34,24,149.52,1
28.7,35.4,14.7,38.5,62.53,34,24,136.43,1
28.8,37.9,19.5,41.4,66.14,35,24,183.68,1
28.8,36.9,18.8,45.9,66.5,34,25,125.64,1
28.5,38.3,21.3,53.9,72.08,34,25.5,152.36,1
28.9,39.8,18.2,48.3,74.66,34,25.9,144.13,1
28.9,39.8,19.6,40.3,75.53,33.5,26,131.67,1
29.1,38.8,22.3,50.3,73.05,34,25.9,129.17,0
29.5,38.4,20.5,41.5,68.14,34.9,26,132.83,0
29.3,38.7,18.5,41.7,71.24,34.4,25.9,146.38,0
29.1,40.8,17.6,44.3,77.69,34.6,26,144.52,0
29.4,37.7,18.4,48.6,74.06,34.6,26,135.38,0
28.4,38.1,16.7,72.3,78.98,33.1,26,138.43,0
29,35.5,16.3,53.2,66.82,34,24.4,114.32,0
28.8,36.3,16.6,37.6,62.67,35,23.4,117.82,0
29.6,37.3,18.4,39,63.58,34.4,25.6,115.61,0
29.2,39,18.6,44,68.56,36.1,25,153.14,0
28.5,36.4,18.4,46.4,69.25,34,24,155.86,0
28.5,37.7,23.2,39.7,73.42,34.1,25.4,161.26,0
28.5,36,17.6,58.2,71.26,33,25.6,143.87,0
28.3,39.2,19.6,75.2,76.9,33,26,146.42,0
27.5,37.3,19.6,75,83.63,32,25,159.5,0
28.1,35.9,15.8,51.5,72.73,32.6,24,126.29,0
28.3,36.1,18.5,46.2,69.82,33.4,25,134.86,0
28.2,36.6,20.7,47.4,74.71,33,25.9,163,0
28.5,37.4,18.9,49.5,71.66,33.6,25.9,151.63,0
28.8,36.3,16.6,52.1,73.01,32.7,26,141.79,0
28.9,38.3,20.5,59.6,75.35,33,25.9,145.42,0
30,37.3,17.7,60.9,66.74,35,26,97.05,0
29.4,35.6,13,66,60.88,32.6,27,139.45,0
29.8,38,18.2,45.2,59.81,35.8,24.1,144.22,0
30.7,39.4,21.8,61.4,60.95,35,27.9,128.5,0
30.1,41.3,22.3,48.7,72.34,34.9,26.9,149.3,0
30,41.4,20.5,40.4,73.54,35.6,27,148.38,0
30.2,42.7,18.2,47.1,73.85,35,27,144.35,0
30.4,42.7,18.9,38,73.84,35.8,26.9,151.38,0
30.2,42.6,20.2,62.4,75.19,34.4,27.9,145.21,0
30.5,41.9,22.5,45.3,71.44,36,27,129.7,0
30.4,39,16.2,55.7,67.54,35.7,27,125.82,0
29.5,40,15.8,60.5,74.22,33.6,26,202.61,0
29.9,39.3,18,51.8,69.44,34,27,140.42,0
30.1,38.6,18.2,51.4,69.84,35.2,27,143.21,0
29.9,40.1,17.3,50.8,73.02,34.6,27,150,0
30.1,40.6,17.6,47.7,73.78,35,27,156.38,0
29.7,42.5,16,75.6,81.12,34.4,27,157.54,0
30.3,42.7,15.5,60.6,75.28,34.6,27.9,171.76,0
30.6,41.4,18,60.7,73.89,35.6,27,164.48,0
30.6,42.2,20.5,57.2,73.51,35,27.9,119.21,0
30.9,41.4,22.7,51.9,70.94,35.6,27.6,128.08,0
29.8,40.6,18.2,52.9,77.93,34,27.4,124.63,0
28.9,40,20,52.1,83.24,33.6,26,143.26,0
30.2,42.2,18,52.3,76.48,34.7,26,146.43,0
29.6,40.2,13.7,60.6,75.4,35,24,193.5,0
30.1,40.6,18.9,59.6,76.68,34.3,28,147.1,0
27.9,39.8,21.6,60.4,88.21,33,25.4,179.05,0
28.8,40.8,16.6,48.2,80.33,33.4,25,134.68,0
29.1,41.4,16.2,56,82.42,34.4,26,181.7,0
28.4,42.8,15.7,71.9,86.27,33.9,26,145.62,0
28.3,42.6,20.4,81.1,86.9,34.4,24.6,174.96,0
28.2,41.3,24.8,68.4,86.87,33.5,25,207.06,0
29.7,43.9,14.4,56,81.08,35,25,179.31,0
29.3,40.6,14.8,59.9,81.41,33,26,143.41,0
30.1,42.6,16.2,48.5,78.04,34.4,26,121.43,0
29.6,41.6,19.2,56.6,81.11,34,27,113.19,0
29.7,41.2,21.1,59.6,79.27,35.4,25.7,118.71,0
30.5,43.7,17.1,46.5,78.06,35.2,28,117,0
30.6,44.3,16.6,55.7,77.86,35,26.6,130.96,0
30.4,44.2,12.4,66.1,78.92,35,27,185.19,0
29.7,42.9,22.3,58,79.97,35.6,24.2,211.06,0
28.4,41.8,14.5,64.8,82.24,34.9,23.4,234.22,0
27.1,40,20.7,76.3,90.11,33,24,158.94,0
28.1,40.8,25.5,75.2,84.48,34.2,25,205.22,1
27.3,41.6,16.7,70.4,91.6,32,26,216.1,1
28.5,40.6,17.8,67.1,81.49,34,25,120.62,1
27.7,43.7,19.5,67.6,88.15,33.4,25.6,222,1
29.4,42.7,13.3,59.9,79.78,35,25.4,152.05,0
28.9,43.3,18.4,70.4,85.02,35,26,247.31,0
28.3,42.9,15.5,68.6,84.64,34.9,25,193.35,0
29,46.7,10.4,60.2,85.36,34.2,25.4,189,0
28.1,42.7,18.4,75.1,88.47,33.4,26,165.24,0
29.8,43.5,18.4,58.5,80.8,34,25,102.5,0
29.1,43.1,15.7,62.9,85.11,33,25,251.16,0
28.3,43.4,13.3,71.8,85.79,32.9,24.4,232.86,0
25.7,36.7,28.9,92,96.53,29,24,165.56,1
26.8,36.2,16.6,81.2,90.37,30,24,251.81,0
28,40.4,18.9,67.8,88.62,32,25.6,245.41,0
28.3,40.4,25.7,74.7,86.86,32.6,26,254.13,0
28.3,41.6,30.5,74.6,89.46,33,25.6,260.73,0
28.4,43,36.2,72.1,87.47,34,26,266.57,1
28.2,38.2,24.8,70.7,85.43,31.5,26,270,1
27,38.3,24.1,82.6,88.56,32,24,275.14,0
28.4,39.2,23.7,68.6,87.09,32,26,249.46,1
28.2,37.9,20.4,66.6,84.96,32,26,250.96,1
28.2,42.1,26.3,70.8,82.49,33,26,264,1
27.3,40.6,27.1,86.3,87.19,32,25,234.29,0
28,42.2,33.2,77.7,87.05,33.4,25,260.67,0
28.4,40.9,28.5,75.4,85.77,32.6,24.5,257.21,0
28.2,39,27,64.4,84.84,32,25,251.5,0
26.8,40,24.9,78,93.03,31.4,25,213.04,0
27.8,39.7,23.1,78.6,89.23,31.4,25.9,229.25,0
28.4,40.7,21.9,72.7,88.09,32.6,25.4,225.42,0
29.8,42.1,19.6,55.7,81.43,33.4,27,254.46,0
29.7,42,17.1,59.7,81.11,34,26,263.35,0
29.4,42.5,19.8,60.6,79.1,34,26.4,223.48,0
29.4,40.9,18.4,59.6,80.18,33.3,26,251,0
29.2,41.5,21,63.8,82.18,34,26.9,239.7,0
27,39.1,13.1,76.4,91.61,31,24.6,251.5,0
27.7,37.3,17.8,67.3,84.82,32,24,176.32,0
28.4,38.7,15,51.9,83.31,32.6,24.7,219.32,0
29.4,40.5,22.8,68.5,81.35,35,26,243.86,0
29.9,40.3,16.6,68.8,78.41,34.4,26.9,251.67,0
29.7,41.6,18.4,55.4,81.86,34.6,25.7,245.08,0
28.6,41.9,28.5,65.1,86.4,34.4,26.6,236.25,0
28.2,40.2,33.2,62.5,85.71,33.3,25,251,0
28.4,40.6,28.7,73.1,82.32,33,25.4,245.5,0
27.5,39.1,32.7,63.8,86.06,31.4,25,242.5,0
26.3,38.1,25.2,78.5,93.88,30.4,24.4,244.83,0
28,39.4,23.4,75.8,84.7,31.6,25,255.22,0
28.1,41.5,24.5,72.2,84.33,33,24,269.21,0
27.6,41.5,22.8,79.7,88.96,33,24,254.83,0
27.5,40.6,22.7,77.7,90.55,31.5,25,253.55,0
28.2,37.3,34.5,64.6,82.97,31.6,25,258.04,0
27.4,38.4,32.7,82.8,86.9,31,24.4,258.13,0
28,38,31.1,84.1,84.1,31,25,257.54,0
27,38.4,30.3,78.5,91.3,30.6,24.9,249.13,0
28.2,38.5,34.3,70.6,88.74,30.8,25.4,250.88,0
27.9,40.9,31.7,75.5,89.75,32,25,258.13,0
27.8,38.5,31.5,78.6,88.34,31.3,26,254.29,0
26.6,40.6,29.3,77.1,94.73,32,24.9,241.79,0
27.6,39.3,24.1,77.9,92.33,30,25,236.42,0
28.7,43.2,26.3,69.2,88.41,32.6,26.9,245.5,0
28.6,42.6,22.9,65.6,91.24,31.6,26.9,243.29,0
28.6,40.6,32.7,72.9,87.8,32.1,25.2,220.92,0
28.4,41.3,24.2,73.5,88.6,30.9,26.9,244,0
29.3,41.2,28.8,65.1,82.66,33,26.9,245.25,0
27.6,37.4,22.3,63.5,92.34,30,25.4,243.46,0
29.2,42,24.5,54.7,83.45,33.6,26,256.58,0
29.3,41.5,25.2,66,83.36,32.6,27,247.5,1
29.1,42.4,25.2,65.5,84.69,33.3,26.9,243.46,1
28.8,42.3,21.9,84.8,85.71,32.9,26.4,248.79,1
28.1,39.7,22,73.6,88.04,31.5,26,244.54,1
28.6,41.1,18.2,58.9,83.22,33.4,25,287.61,0
29.4,41.2,22.7,57.8,80.1,33,26,264.04,0
28.5,39.7,27.8,61.8,80.97,32.9,25,264.83,0
28.8,37.3,28.1,66.5,77.64,33,25.4,257.17,0
28.3,39.2,29.5,65.9,82.66,33,24.3,260.33,1
26.8,38.8,37.1,84.4,92.71,31,23,226.54,1
26.7,37.8,35.6,86.3,90.06,31.3,24,217.75,0
27.3,39.4,28.9,82.6,88.88,31.6,24.9,274.26,0
26.4,40,19.8,85,94.53,31.6,25,260.08,0
26.1,37.4,34.1,83.4,90.7,31,24,251.13,0
26.3,36.2,29,84.2,90.86,30,24,238.25,0
26.9,37.1,35.3,68,88.86,30.6,24.9,249.75,0
27.5,37.7,34.5,72.9,85.94,31,24,248.29,0
27,39.1,29.3,82.9,91.63,31.4,24,260.13,0
26.7,39.6,18.8,83,94.82,30.4,25,245.71,0
27.5,38.9,27.7,84.8,90.48,31,25,252.21,0
28.7,40.4,28.9,85.3,85.39,32.4,26,253.29,0
28.8,40.6,31.8,81.5,84.25,32,26.9,243.63,0
27.2,39.7,30.1,81.9,92.04,31.4,24.4,229.26,0
26.9,39.7,24.4,80.8,91.67,31,24,256.52,0
27.9,40.6,22.6,69.9,87.09,32,24,257.54,0
28.2,41.6,24.1,65.4,86.82,32.1,25,249.33,0
29,42.5,26.5,75.5,84.24,33.1,25.9,236.63,0
28.4,41.4,30.8,71.1,85.07,34,25.9,224.17,0
28.6,40,23.7,68.8,85.02,32,25.6,246.09,0
28.8,39.2,23.9,57.4,83.2,32,26,251.71,0
28.2,39.4,23.4,68.2,84.9,32,25,252.04,0
28.3,39.1,30.2,66.9,84.61,31.6,26,246.33,0
